name,price
SONDA FOLEY 2 VIAS DE SILICONA KAUTION N°14 BALON 5,$510
"CREMA DE ORDEÑE ""3010"" BABA DE CARACOL Y ALOE x 380 grs",$567
"CREMA DE ORDEÑE ""3010"" ORIGINAL x 380 grs",$567
SONDA FOLEY 2 VIAS DE SILICONA KAUTION N°18 BALON 5,$510
SONDA FOLEY 2 VIAS DE SILICONA KAUTION N°16 BALON 5,$510
ESME CREMA DENTAL KID´S CON FLÚOR X 90 G,$130
DERMOGREEN SACHET CANAS OUT! x 8 gr.,$88
APOSITO PROTECTOR FUN! EMOJI HIPOALERGIC x 10 unid.,$97
PERFUME GALAPAGOS HOMBRE D'OR,$888
"RODILLERA ""ACTIVA GENUSAN"" ELASTICA TALLE 7",$2.968
EXHIBIDOR ESMALTES,$19.302
CHAPOTEANDO TETINA SILICONA BOCA ANGOSTA BOLSA x 144 u.,$14.515
O2+ ESPONJA EXFOLIANTE KONJAC NEGRA (4254),$964
O2+ ESPONJA EXFOLIANTE KONJAC ROSA (4247),$1.061
O2+ PINZA DE DEPILAR CON PEINE FUCSIA (0171),$832
TENSIOMETRO DIGITAL FUREY DE MUÑECA LD752,$5.877
TENSIOMETRO DIGITAL FUREY DE BRAZO LD572,$7.753
BABYLOOK TOALLITAS HUMEDAS ALOE VERA x 70 u,$306
BABYLOOK TOALLITAS HUMEDAS MANZANILLA x 70 u,$306
DISWALD ESPEJO ACRILICO CON AUMENTO DE PIE (66012),$2.881
DISWALD CEPILLO NEUMATICO PALETA FUME (447),$1.270
CEPILLO NEUMATICO CHICO OGIB 406,$1.105
CEPILLO NEUMATICO OVAL GRANDE OGIB 405,$1.194
CEPILLO NEUMATICO PALETA OGIB 404,$907
JACTANS SERUM PARA ROSTRO Y CUELLO 956,$1.149
JACTANS GEL VOLUMINIZADOR PARA CEJAS Y PESTAÑAS 952,$1.149
JACTANS HIDRATACION EXPRESS EMULSION PREMAQUILLAJE 951,$1.149
JACTANS BRUMA CORPORAL Y FACIAL 727,$1.149
EXHIBIDOR DE PEINES,$25.549
EXHIBIDOR NEOPRENE DE MOSTRADOR FUREY (CONSULTAR PRECIO),$18.378
TENSIOMETRO DIGITAL EUROMIX AUTOMATICO DE MUÑECA YKBPW4,$5.877
TENSIOMETRO DIGITAL EUROMIX AUTOMATICO DE BRAZO YKBPA1,$7.753
JESSAMY CEPILLO DELFIN CHICO J 142,$415
ALFA CURL MODE CREMA PARA PEINAR x 300 ml.,$789
ALFA OIL NON OIL GEL FINALIZADOR x 240 ml.,$789
IYOSEI ARGAN SHOCK ELIXIR SHAMPOO x 230ml. YHA170,$627
O2+ ESPONJA MAQUILLAJE BEAUTY BLENDER VIOLETA (4018),$472
MAC SET MANGO MEN RED LEGEND + SHAMPOO,$5.156
MAC SET MANGO MEN BLUE ATTRACTION + SHAMPOO,$5.156
MAC GREGOR SET UNIFORM MEN LEXINGTON x 100ml + NAIPES,$4.056
MAC GREGOR SET UNIFORM MEN BROOKLING x 100ml + NAIPES,$4.056
DERMOGREEN SET REGALO CREMAS,$1.323
SET DE REGALO Nº 7 MILLON,$3.034
SET DE REGALO Nº 6 212 M,$2.749
BOLSA COLECTOR DE ORINA NOVA MED CAMA,$114
EQUIPO COPROPARASITOLOGICO TABLADA PEDIATRICO,$602
REPUESTO NEBULIZADOR ULTRASONICO N68 MANGUERA CORRUGADA (P53),$614
AGUJA NEOJET 40x12 18G x 1 1/2 CAJA x 100u.,$407
AGUJA NEOJET 50x8 21G x 2 CAJA x 100u.,$451
AGUJA NEOJET 13x4 27G x 1/2 CAJA x 100u.,$302
BALSAMO LABIAL DISPLAY MOON FLOWER KIDS x 10u.,$1.607
SET DE REGALO Nº 5 212 S,$1.888
SET DE REGALO Nº 4 FLOR,$1.888
DERMOGREEN SET REGALO,$1.219
SET DE REGALO Nº 3 VITA,$1.777
SET DE REGALO Nº 2 BELLA,$1.800
SET DE REGALO Nº 1 VERA,$1.808
ALFA SET REGALO CARBON ACTIVADO,$2.424
EXHIBIDOR DERMOGREEN,$5.039
DISWALD ESPEJO REDONDO CON AUMENTO DE PIE,$2.355
DISWALD CEPILLO NEUMATICO FINO (406),$1.105
DISWALD CEPILLO NEUMATICO OVAL (405),$1.194
DISWALD CEPILLO NEUMATICO PALETA (404),$1.039
DISWALD CEPILLO NEUMATICO PALETON (398),$1.521
ALFA CARBON ACTIVADO SHAMPOO x 300 ml.,$818
ALFA CARBON ACTIVADO ACONDICIONADOR x 300 ml.,$818
ALFA CARBON ACTIVADO MASCARA DETOX x 250 ml.,$789
DISNEY ESMALTE + 2 PLANCHAS DE STICKERS PEPPA PIG,$689
DISNEY ESMALTE + 2 PLANCHAS DE STICKERS LOL,$689
DISNEY ESMALTE + 2 PLANCHAS DE STICKERS FROZEN,$689
HIPOALERGIC APOSITO PROTECTOR PLASTICO SURTIDO x 30 unid.,$303
JESSAMY CEPILLO CABELLO NEUMATICO OVAL RECTO AZUL,$599
JESSAMY CEPILLO CABELLO NEUMATICO OVAL VIOLETA,$599
JESSAMY CEPILLO CABELLO NEUMATICO ARAÑA VERDE,$599
JESSAMY CEPILLO CABELLO NEUMATICO PALETA ROJO,$599
BARBIJO KN95 x 20 u SPENQ,$662
JACTANS BE SIMPLE CORRECTOR FACIAL TOSTADO x 5ml 740/003,$718
JACTANS BE SIMPLE CORRECTOR FACIAL BEIGE x 5ml 740/002,$718
JACTANS BE SIMPLE CORRECTOR FACIAL NATURAL x 5ml 740/001,$718
JACTANS AGUA MICELAR BIFÁSICA x 105ml,$1.005
JACTANS DELINEADOR LABIAL LAPIZ MADERA ROJO 605/013,$287
JACTANS DELINEADOR LABIAL LAPIZ MADERA PINK 605/012,$287
JACTANS DELINEADOR LABIAL LAPIZ MADERA RAISIN 605/009,$287
JACTANS AGUA MICELAR x 105ml 693,$862
JACTANS DELINEADOR LAPIZ LABIAL MADERA CHOCOLATE 605/004,$287
JACTANS DELINEADOR LABIAL LAPIZ MADERA BURGUNDY 605/003,$287
JACTANS VOLUMINIZADOR LABIOS HIDRATANTE 519/002,$1.076
JACTANS REPARADOR INTENSIVO PARA LABIOS CON COLAGENO,$1.076
EXHIBIDOR ORGANICS (CONSULTAR PRECIO),$5.284
ALMOHADILLA TERMICA SILFAB CERVICAL AL92/GR,$9.328
ALMOHADILLA TERMICA SILFAB SMALL AL90/GR,$8.806
AGUJA NEOJET 25x8 21G x 1 CAJA x 100 u.,$314
AGUJA NEOJET 40x8 21G x 1 1/2 CAJA x 100u.,$314
CLAMP UMBILICAL GREYTON,$35
MAS CEPILLO BRUSHING GRANDE 239,$923
ESMALTES PASTELES CAJA x 20 u.,$4.808
LAPIZ LABIAL CAJA EXHIBIDORA x 30 u.,$6.788
ESMALTES NACARADOS Y CREMOSOS caja x 20 u.,$4.808
PLANTILLA SOFEET MUJER PARA CHATITA,$2.434
DERMOGREEN ORGANICS LECHE HIDRATANTE TE VERDE KARITE ALOE x 500 ml,$881
DERMOGREEN ORGANICS LECHE REAFIRMANTE ARGAN OLIVA x 500 ml,$881
DERMOGREEN ORGANICS LECHE HUMECTANTE LOTO Y ALOE x 500 ml,$881
BARBIJO TRIPLE CAPA MAXIMO ESFUERZO x 50 u.,$709
GUANTE NITRILO DEXAL AZUL GRANDE x 100 u.,$626
GUANTE NITRILO DEXAL AZUL MEDIANO x 100 u.,$626
GUANTE NITRILO DEXAL NEGRO GRANDE x 100 u.,$626
